datetime,carbon_intensity,custom_electricity_score,custom_electricity_input_kwh_per_kwh,REP_SEASON,REP_KIND,AE operation
2023-03-24 13:30:00,38.0,0.0996050046591575,1.0316426921769999,Spring,top10,5.341740526690124
2023-03-24 14:00:00,39.0,0.09970369992146447,1.0316426921769999,Spring,top10,5.346852941277625
2023-03-24 14:30:00,39.0,0.0974995871363142,1.030611049484823,Spring,top10,5.232679899006841
2023-03-24 15:00:00,40.0,0.09995992284254585,1.0316426921769999,Spring,top10,5.36012528858964
2023-03-24 15:30:00,43.0,0.10626254749977994,1.0306110494848228,Spring,top10,5.686601245834367
2023-03-24 16:00:00,51.0,0.12525349710382516,1.0295794067926458,Spring,top10,6.670332435323909
2023-03-24 16:30:00,62.0,0.15392269479832907,1.0306110494848228,Spring,top10,8.155396875899212
2023-03-24 17:00:00,74.0,0.17156780557523446,1.032674334869177,Spring,top10,9.06941361414291
2023-03-24 17:30:00,71.0,0.16633093762365012,1.0326743348691767,Spring,top10,8.798143854250842
2023-03-24 18:00:00,69.0,0.16946234906503435,1.0326743348691767,Spring,top10,8.960350966914545
2023-03-24 18:30:00,68.0,0.1662762272600433,1.0316426921769999,Spring,top10,8.795309857416008
2023-03-24 19:00:00,64.0,0.16368921442254344,1.0295794067926458,Spring,top10,8.661302592433517
2023-03-24 19:30:00,64.0,0.15026741533295657,1.0316426921769999,Spring,top10,7.966053399592916
2023-03-24 20:00:00,61.0,0.1426439700793343,1.0337059775613537,Spring,top10,7.571158935455282
2023-03-24 20:30:00,60.0,0.12610403610563417,1.0306110494848228,Spring,top10,6.714390355617615
2023-03-24 21:00:00,57.0,0.11847371006184358,1.0316426921769999,Spring,top10,6.319139466549263
2023-03-24 21:30:00,57.0,0.11715862937271687,1.0326743348691767,Spring,top10,6.251018286852499
2023-03-24 22:00:00,53.0,0.10952833684511246,1.032674334869177,Spring,top10,5.855769133922591
2023-03-24 22:30:00,49.0,0.10438031490073803,1.0316426921769999,Spring,top10,5.589101597203995
2023-03-24 23:00:00,53.0,0.11478523312320488,1.030611049484823,Spring,top10,6.128076361127778
2023-03-24 23:30:00,51.0,0.11446223389567974,1.032674334869177,Spring,top10,6.111345001141975
2023-05-02 00:00:00,209.0,0.3289434665659179,1.0306110494848228,Spring,bottom10,17.221472853460313
2023-05-02 00:30:00,209.0,0.32870378315208376,1.032674334869177,Spring,bottom10,17.209057252623705
2023-05-02 01:00:00,205.0,0.31866778877797336,1.0316426921769999,Spring,bottom10,16.689192744044785
2023-05-02 01:30:00,201.0,0.3135334390132733,1.032674334869177,Spring,bottom10,16.42323342623332
2023-05-02 02:00:00,208.0,0.32191742863725603,1.0316426921769999,Spring,bottom10,16.85752408875563
2023-05-02 02:30:00,210.0,0.32629909340439756,1.0316426921769997,Spring,bottom10,17.08449432369356
2023-05-02 03:00:00,212.0,0.3341151551791858,1.0326743348691767,Spring,bottom10,17.48936632362759
2023-05-02 03:30:00,210.0,0.33132324720126216,1.0306110494848228,Spring,bottom10,17.344745490371146
2023-05-02 04:00:00,224.0,0.3517855249794851,1.0306110494848228,Spring,bottom10,18.404691479283095
2023-05-02 04:30:00,231.0,0.3627652150234242,1.0316426921769999,Spring,bottom10,18.97343942355914
2023-05-02 05:00:00,226.0,0.3569671040238745,1.0316426921769997,Spring,bottom10,18.673097273782464
2023-05-02 05:30:00,227.0,0.3756799820537865,1.0306110494848228,Spring,bottom10,19.642424355731904
2023-05-02 06:00:00,227.0,0.3717376112529932,1.0316426921769999,Spring,bottom10,19.438209548250814
2023-05-02 06:30:00,222.0,0.3816553381021316,1.031642692177,Spring,bottom10,19.95194779903618
2023-05-02 07:00:00,216.0,0.36171599610255867,1.0306110494848228,Spring,bottom10,18.919089883458305
2023-05-02 07:30:00,214.0,0.3643564484144921,1.0316426921769999,Spring,bottom10,19.055865313216454
2023-05-02 08:00:00,209.0,0.35591405948817023,1.031642692177,Spring,bottom10,18.618549566832982
2023-05-02 08:30:00,205.0,0.3488465569222595,1.031642692177,Spring,bottom10,18.252452933918807
2023-05-02 09:00:00,203.0,0.34495520599575563,1.032674334869177,Spring,bottom10,18.050880955925905
2023-05-02 09:30:00,200.0,0.3345279077617717,1.0316426921769999,Spring,bottom10,17.51074690740554
2023-05-02 10:00:00,197.0,0.3271125724927831,1.0316426921769999,Spring,bottom10,17.126632540471928
2023-05-02 10:30:00,195.0,0.32389896752968184,1.0316426921769999,Spring,bottom10,16.960167803383285
2023-05-02 11:00:00,197.0,0.32757741833870135,1.0316426921769999,Spring,bottom10,17.150711555290496
2023-05-02 11:30:00,196.0,0.32497174602367884,1.0306110494848228,Spring,bottom10,17.01573772937233
2023-05-02 12:00:00,197.0,0.3268257352952993,1.032674334869177,Spring,bottom10,17.11177437364227
2023-05-02 12:30:00,194.0,0.32361019539494135,1.032674334869177,Spring,bottom10,16.945209406803727
2023-05-02 13:00:00,196.0,0.32571373491167943,1.032674334869177,Spring,bottom10,17.05417275377076
2023-05-02 13:30:00,196.0,0.3253398376951399,1.033705977561354,Spring,bottom10,17.034804877954013
2023-05-02 14:00:00,201.0,0.32926904165954357,1.032674334869177,Spring,bottom10,17.23833764331012
2023-05-02 14:30:00,202.0,0.3308473490219247,1.0316426921769999,Spring,bottom10,17.320093964681465
2023-05-02 15:00:00,205.0,0.33704470994325325,1.0316426921769999,Spring,bottom10,17.641117260406283
2023-05-02 15:30:00,210.0,0.3436736771377594,1.0316426921769999,Spring,bottom10,17.984497761081702
2023-05-02 16:00:00,217.0,0.35165982219887676,1.0316426921769999,Spring,bottom10,18.39818007524758
2023-05-02 16:30:00,221.0,0.3588617408715453,1.0326743348691767,Spring,bottom10,18.771239462491813
2023-05-02 17:00:00,223.0,0.3671465561210903,1.0316426921769999,Spring,bottom10,19.200392892418243
2023-05-02 17:30:00,228.0,0.37243944572417953,1.033705977561354,Spring,bottom10,19.474564573858263
2023-05-02 18:00:00,228.0,0.38567248040201507,1.0306110494848228,Spring,bottom10,20.160035770170147
2023-05-02 18:30:00,229.0,0.38274868158768266,1.0316426921769999,Spring,bottom10,20.008582991587726
2023-05-02 19:00:00,235.0,0.3864142563647034,1.030611049484823,Spring,bottom10,20.1984597650374
2023-05-02 19:30:00,236.0,0.3845267307899724,1.032674334869177,Spring,bottom10,20.100685940266334
2023-05-02 20:00:00,241.0,0.3844248034200285,1.032674334869177,Spring,bottom10,20.09540610250324
2023-05-02 20:30:00,242.0,0.377354442959038,1.0316426921769997,Spring,bottom10,19.729161430623932
2023-05-02 21:00:00,255.0,0.3931282174551025,1.031642692177,Spring,bottom10,20.546242949520074
2023-05-02 21:30:00,246.0,0.37721237333458846,1.0316426921769997,Spring,bottom10,19.721802224077447
2023-05-02 22:00:00,231.0,0.3595590813602101,1.0316426921769997,Spring,bottom10,18.80736169980465
2023-05-02 22:30:00,222.0,0.34262800556140677,1.0306110494848228,Spring,bottom10,17.930331973426636
2023-05-02 23:00:00,219.0,0.3380793261050237,1.0326743348691771,Spring,bottom10,17.694710377585995
2023-05-02 23:30:00,219.0,0.33535774655886186,1.0316426921769997,Spring,bottom10,17.553732557094808
2023-07-06 00:00:00,172.0,0.2739973575517449,1.0316426921769999,Summer,avg,14.375264406526153
2023-07-06 00:30:00,171.0,0.2702743823289103,1.032674334869177,Summer,avg,14.18241428998332
2023-07-06 01:00:00,173.0,0.27201319688589237,1.0306110494848228,Summer,avg,14.27248488403499
2023-07-06 01:30:00,173.0,0.2747930360188171,1.0316426921769997,Summer,avg,14.416480551120491
2023-07-06 02:00:00,176.0,0.278195517896891,1.0316426921769999,Summer,avg,14.592729112404719
2023-07-06 02:30:00,175.0,0.2758388349680368,1.0306110494848228,Summer,avg,14.47065293669007
2023-07-06 03:00:00,171.0,0.2732608918688683,1.0306110494848226,Summer,avg,14.337115484153143
2023-07-06 03:30:00,168.0,0.269077969867655,1.031642692177,Summer,avg,14.120440124490292
2023-07-06 04:00:00,165.0,0.27259067734358466,1.0326743348691767,Summer,avg,14.30239837174345
2023-07-06 04:30:00,167.0,0.2821818381342009,1.031642692177,Summer,avg,14.799220500697372
2023-07-06 05:00:00,166.0,0.2945715767516664,1.031642692177,Summer,avg,15.441008961082085
2023-07-06 05:30:00,167.0,0.3112106881055423,1.032674334869177,Summer,avg,16.302914929212857
2023-07-06 06:00:00,161.0,0.2949802333392752,1.0306110494848228,Summer,avg,15.46217737232022
2023-07-06 06:30:00,160.0,0.2938758992180304,1.0326743348691771,Summer,avg,15.40497286483974
2023-07-06 07:00:00,153.0,0.268278610275011,1.0316426921769999,Summer,avg,14.079033297591334
2023-07-06 07:30:00,151.0,0.25766477656701375,1.0326743348691771,Summer,avg,13.529236711517077
2023-07-06 08:00:00,143.0,0.24740488908336353,1.031642692177,Summer,avg,12.997774539863995
2023-07-06 08:30:00,133.0,0.23315476710673896,1.030611049484823,Summer,avg,12.259618221474843
2023-07-06 09:00:00,126.0,0.22476121634728674,1.0295794067926458,Summer,avg,11.824832292135218
2023-07-06 09:30:00,124.0,0.22295838220411,1.0316426921769999,Summer,avg,11.731445483518662
2023-07-06 10:00:00,129.0,0.2251395092455164,1.032674334869177,Summer,avg,11.844427864263515
2023-07-06 10:30:00,128.0,0.22210669567557595,1.0295794067926458,Summer,avg,11.687328121340599
2023-07-06 11:00:00,129.0,0.22265622624399667,1.0316426921769999,Summer,avg,11.715793804784793
2023-07-06 11:30:00,125.0,0.2167475894970606,1.030611049484823,Summer,avg,11.409726421293504
2023-07-06 12:00:00,128.0,0.2156388166534544,1.0306110494848228,Summer,avg,11.352291987994704
2023-07-06 12:30:00,120.0,0.2041937696956887,1.030611049484823,Summer,avg,10.75943855558244
2023-07-06 13:00:00,113.0,0.19642540353268614,1.0326743348691767,Summer,avg,10.357037188338907
2023-07-06 13:30:00,106.0,0.1842796204824024,1.0316426921769999,Summer,avg,9.72788562633421
2023-07-06 14:00:00,109.0,0.19058711155375274,1.032674334869177,Summer,avg,10.054613663830157
2023-07-06 14:30:00,112.0,0.19235575349884043,1.0306110494848226,Summer,avg,10.1462293165857
2023-07-06 15:00:00,112.0,0.19688526802857625,1.0295794067926458,Summer,avg,10.380858169226014
2023-07-06 15:30:00,114.0,0.19820863940094438,1.0295794067926458,Summer,avg,10.449408806314684
2023-07-06 16:00:00,123.0,0.20751440362530302,1.030611049484823,Summer,avg,10.93144739313646
2023-07-06 16:30:00,134.0,0.22009294853953715,1.0316426921769999,Summer,avg,11.583016019693789
2023-07-06 17:00:00,139.0,0.23008947841672836,1.032674334869177,Summer,avg,12.100836267332294
2023-07-06 17:30:00,142.0,0.23576382640379387,1.0316426921769999,Summer,avg,12.394767493062288
2023-07-06 18:00:00,140.0,0.23408413705615516,1.0316426921769999,Summer,avg,12.307759584854603
2023-07-06 18:30:00,148.0,0.2510479023012247,1.0326743348691767,Summer,avg,13.186482624549205
2023-07-06 19:00:00,150.0,0.24480791120113352,1.0316426921769999,Summer,avg,12.863251085564482
2023-07-06 19:30:00,151.0,0.24021024081902073,1.031642692177,Summer,avg,12.625091759771038
2023-07-06 20:00:00,152.0,0.2381720390021753,1.0306110494848228,Summer,avg,12.519512905658445
2023-07-06 20:30:00,149.0,0.23593098371955412,1.0306110494848228,Summer,avg,12.403426242018668
2023-07-06 21:00:00,146.0,0.23015502676561675,1.0316426921769994,Summer,avg,12.104231671804712
2023-07-06 21:30:00,136.0,0.21575290095839175,1.0316426921769999,Summer,avg,11.358201554990458
2023-07-06 22:00:00,128.0,0.20605973553033494,1.0316426921769999,Summer,avg,10.856095585817116
2023-07-06 22:30:00,119.0,0.18728547285733982,1.032674334869177,Summer,avg,9.883588779355968
2023-07-06 23:00:00,117.0,0.18069385192659554,1.0306110494848228,Summer,avg,9.542142815143414
2023-07-06 23:30:00,110.0,0.17162578362571945,1.0316426921769999,Summer,avg,9.072416877158032
2023-07-03 00:00:00,71.0,0.12344012560995313,1.0316426921769999,Summer,top10,6.576399791941338
2023-07-03 00:30:00,72.0,0.12413656436873155,1.0306110494848228,Summer,top10,6.61247531964606
2023-07-03 01:00:00,76.0,0.12590320501491914,1.030611049484823,Summer,top10,6.703987305118577
2023-07-03 01:30:00,74.0,0.12382902554903269,1.031642692177,Summer,top10,6.596544808785659
2023-07-03 02:00:00,75.0,0.12214853005537156,1.0326743348691767,Summer,top10,6.509495142214012
2023-07-03 02:30:00,75.0,0.12247761421665208,1.0316426921769997,Summer,top10,6.526541701768343
2023-07-03 03:00:00,76.0,0.12635170172120488,1.030611049484823,Summer,top10,6.727219434504178
2023-07-03 03:30:00,79.0,0.13213535685095174,1.031642692177,Summer,top10,7.026812770225066
2023-07-03 04:00:00,76.0,0.12952545299787108,1.0316426921769997,Summer,top10,6.8916197506354875
2023-07-03 04:30:00,78.0,0.13501825224755667,1.0347376202535308,Summer,top10,7.176146751769201
2023-07-03 05:00:00,77.0,0.13929300873840747,1.0316426921769997,Summer,top10,7.3975791379952724
2023-07-03 05:30:00,82.0,0.15080179710192917,1.0306110494848228,Summer,top10,7.993734375225697
2023-07-03 06:00:00,67.0,0.13340589227930286,1.030611049484823,Summer,top10,7.092626505413653
2023-07-03 06:30:00,68.0,0.14128774066931832,1.0337059775613537,Summer,top10,7.5009062520164544
2023-07-03 07:00:00,54.0,0.12266368025545235,1.0316426921769999,Summer,top10,6.536179922578198
2023-07-03 07:30:00,47.0,0.11429954361739866,1.0306110494848228,Summer,top10,6.102917644727016
2023-07-03 08:00:00,44.0,0.11206813147845145,1.0316426921769997,Summer,top10,5.98733049592955
2023-07-03 08:30:00,43.0,0.11151638867894063,1.0316426921769997,Summer,top10,5.95875021891489
2023-07-03 09:00:00,45.0,0.11265244893778997,1.0306110494848228,Summer,top10,6.017598140323286
2023-07-03 09:30:00,42.0,0.10745511148046454,1.033705977561354,Summer,top10,5.748376060033828
2023-07-03 10:00:00,43.0,0.10706969930001353,1.032674334869177,Summer,top10,5.728411709086466
2023-07-03 10:30:00,45.0,0.10922493946698679,1.0306110494848228,Summer,top10,5.840053149735681
2023-07-03 11:00:00,45.0,0.11019629776716289,1.030611049484823,Summer,top10,5.8903695096848026
2023-07-03 11:30:00,49.0,0.1153525683172438,1.0316426921769999,Summer,top10,6.157464324178995
2023-07-03 12:00:00,58.0,0.13326207647335125,1.0306110494848226,Summer,top10,7.085176846665361
2023-07-03 12:30:00,57.0,0.1325543607504952,1.032674334869177,Summer,top10,7.048517172221417
2023-07-03 13:00:00,60.0,0.1369724486858025,1.0316426921769999,Summer,top10,7.277374127270335
2023-07-03 13:30:00,62.0,0.13745080125629133,1.0316426921769999,Summer,top10,7.3021527904216565
2023-07-03 14:00:00,59.0,0.12981159012254195,1.033705977561354,Summer,top10,6.906441653693439
2023-07-03 14:30:00,66.0,0.13887380132547236,1.0337059775613537,Summer,top10,7.375864194005234
2023-07-03 15:00:00,69.0,0.1455741645370007,1.0326743348691771,Summer,top10,7.722943008362401
2023-07-03 15:30:00,74.0,0.1483101823418446,1.032674334869177,Summer,top10,7.864668730653316
2023-07-03 16:00:00,68.0,0.1407224397757865,1.0316426921769999,Summer,top10,7.471623665731506
2023-07-03 16:30:00,59.0,0.12666171729306822,1.0295794067926458,Summer,top10,6.743278241126699
2023-07-03 17:00:00,63.0,0.1293389273136709,1.030611049484823,Summer,top10,6.881957720193918
2023-07-03 17:30:00,67.0,0.1337221300593562,1.0306110494848228,Summer,top10,7.109007622420417
2023-07-03 18:00:00,72.0,0.1428155985844862,1.0306110494848228,Summer,top10,7.58004929202215
2023-07-03 18:30:00,79.0,0.15267212289385376,1.031642692177,Summer,top10,8.09061725124739
2023-07-03 19:00:00,91.0,0.1713615483542263,1.032674334869177,Summer,top10,9.058729490094686
2023-07-03 19:30:00,95.0,0.17457280307648695,1.032674334869177,Summer,top10,9.22507248470779
2023-07-03 20:00:00,97.0,0.17611085637976556,1.0316426921769999,Summer,top10,9.304743645817622
2023-07-03 20:30:00,92.0,0.16187860461227904,1.0295794067926458,Summer,top10,8.56751300426182
2023-07-03 21:00:00,85.0,0.1540987535100683,1.0306110494848228,Summer,top10,8.164516717167304
2023-07-03 21:30:00,71.0,0.12904797971712234,1.032674334869177,Summer,top10,6.866886634692703
2023-07-03 22:00:00,69.0,0.12547669645417048,1.0316426921769997,Summer,top10,6.681894161671796
2023-07-03 22:30:00,62.0,0.11721298027148241,1.0316426921769997,Summer,top10,6.253833663408554
2023-07-03 23:00:00,66.0,0.11631150398703509,1.0316426921769999,Summer,top10,6.207137191874183
